ItemNumber,Location,FinalStockLevel,FinalStockValue,PurchasePrice
73-7951-03,Default,0.0,0.0,0.1
73-8133-03,Default,1.0,0.1,0.1
73-8474-05,Default,6.0,0.6,0.09999999999999999
73-8483-05,Default,1.0,0.1,0.1
73-8609-04,Default,6.0,0.6,0.09999999999999999
73-8857-03,Default,0.0,0.0,0.1
7389-UF,Default,2.0,172.19,86.095
7390-UF,Default,0.0,0.0,85.09
7390-UF,Sharjah Warehouse1,2.0,170.18,85.09
7400-UF,Default,0.0,0.0,106.656156
7400-UF,Sharjah Warehouse1,6.0,639.9300000000001,106.655
74-10899-01-HP,Default,12.0,0.41,0.034166666666666665
74-10899-01-LP,Default,1.0,0.01,0.01
7410-UF,Default,0.0,0.0,97.77
7410-UF,Sharjah Warehouse1,1.0,97.77,97.77
7420-UF,Default,0.0,0.0,98.0
7420-UF,Sharjah Warehouse1,1.0,98.0,98.0
742516-001,Default,0.0,0.0,0.01
745G5-UF,Default,0.0,0.0,86.4535
745G5-UF,Sharjah Warehouse1,1.0,86.45,86.45
7470-UF,Default,1.0,87.48,87.48
7470-UF,Sharjah Warehouse1,3.0,349.91,116.63666666666667
7480-UF,Default,0.0,0.0,88.66641050000001
7480-UF,Sharjah Warehouse1,5.0,457.8,91.56
7490-UF,Default,4.0,338.84000000000003,84.71
7490-UF,Sharjah Warehouse1,6.0,508.26,84.71
7510-UF,Default,0.0,0.0,0.0
7520-UF,Default,0.0,0.0,80.36651433
7577-UF,Default,0.0,0.0,0.0
7610-SPEC1,Default,1.0,19.36,19.36
7610-SPEC2,Default,1.0,19.36,19.36
764736-001-HP,Default,9.0,7.67,0.8522222222222222
764899-001,Default,1.0,0.1,0.1
765149-001,Default,1.0,7.92,7.92
765252-002+ML,Default,2.0,12.0,6.0
765452-002,Default,0.0,0.0,3.0
765452-002+caddy-no-label,Default,0.0,0.0,1.2
767896-001+caddy,Default,0.0,0.0,0.01
768788-002+G8,Default,1.0,0.85,0.85
768788-004,Default,19.0,42.0,2.210526315789474
768788-004+caddy-no-label,Default,19.0,0.0,0.0
768788-004+G8,Default,2.0,0.0,0.9630925
774026-001,Default,0.0,0.0,3.5
7773-UF,Default,0.0,0.0,0.0
779103-001,Default,21.0,0.21,0.01
7810-SPEC1,Default,1.0,22.13,22.13
781514-002,Default,0.0,0.0,3.0
781514-002+caddy-no-label,Default,0.0,0.0,0.0
781515-001,Default,0.0,0.0,3.0
781515-001+caddy-no-label,Default,0.0,0.0,0.0
781515-001+G5,Default,0.0,0.0,2.0
781578-001,Default,2.0,0.02,0.01
796365-002+G8,Default,1.0,0.85,0.85
7E9-1BB-79C,Default,0.0,0.0,0.0
7E9-1BB-79C,UK-Reballing,11.0,0.0,0.0
800001-001,Default,0.0,0.0,0.008515
800-08279-05,Default,1.0,0.1,0.1
800-09311-03,Default,1.0,0.1,0.1
800-33583-001,Default,0.0,0.0,0.0
800-33583-01,Default,2.0,0.02,0.01
800-40757-05,Default,21.0,35.76,1.7028571428571428
809944-001,Default,9.0,0.09,0.01
80GBMSATA,Default,0.0,0.0,0.3
820G3-UF,Default,4.0,258.28952,64.57238
820G3-UF,Sharjah Warehouse1,6.0,387.43500000000006,64.5725
820g4-UF,Default,0.0,0.0,90.4095
820g4-UF,Sharjah Warehouse1,1.0,90.41,90.41
822552-001,Default,4.0,20.0,5.0
829T8,Default,13.0,0.0,0.0
830057-001-LP,Default,0.0,0.0,10.0
830G5-UF,Default,1.0,35.92277461538458,35.92277461538462
830G5-UF,Sharjah Warehouse1,19.0,425.43375,22.39125
830G6-UF,Default,76.0,8412.182941176474,110.68661764705884
830G6-UF,Sharjah Warehouse1,115.0,13054.800000000001,113.52000000000001
830G6-UF,Gaming PC & Laptops,0.0,0.0,0.0
